,city,lat,max_temp,cloudiness,humidity,lng,country,date,wind_speed
140,kavieng,-2.57,28.48,100,71,150.8,PG,1562611331,3.98
141,nichlaul,27.32,27.78,100,75,83.73,IN,1562611451,3.57
142,port moresby,-9.47,24.98,0,82,147.16,PG,1562611370,10.61
143,lorengau,-2.02,26.88,96,80,147.27,PG,1562611306,4.72
144,souillac,45.6,30.0,0,35,-0.6,FR,1562611371,4.6
145,kautokeino,69.01,13.68,66,54,23.04,NO,1562611451,3.68
146,narsaq,60.91,20.0,75,19,-46.05,GL,1562611276,12.3
147,lavrentiya,65.58,19.48,30,34,-170.99,RU,1562611016,1.13
148,nioro,13.79,35.18,79,37,-15.05,GM,1562611452,2.46
149,san quintin,17.54,23.58,100,93,120.52,PH,1562611303,1.19
150,pangnirtung,66.15,7.0,90,100,-65.72,CA,1562611379,3.6
151,van,38.51,23.0,75,46,43.37,TR,1562611452,3.6
152,bandarbeyla,9.49,27.78,0,61,50.81,SO,1562611351,10.54
153,kambi,39.22,28.0,0,88,20.9,GR,1562611453,4.6
154,peniche,39.36,21.11,40,82,-9.38,PT,1562611453,4.6
155,chokurdakh,70.62,14.58,0,65,147.9,RU,1562611297,3.67
156,nome,30.04,34.44,1,59,-94.42,US,1562611352,2.1
157,kenora,49.76,27.0,75,57,-94.48,CA,1562611266,6.7
158,togur,58.36,16.18,63,79,82.83,RU,1562611454,4.28
159,mana,13.03,32.08,85,51,5.27,NG,1562611454,6.27
160,carnarvon,-30.97,11.88,0,60,22.13,ZA,1562611290,3.18
161,belaya gora,68.54,17.08,69,47,146.19,RU,1562611454,4.06
162,coihaique,-45.58,8.0,90,100,-72.07,CL,1562611455,1.1
163,isangel,-19.55,21.48,1,70,169.27,VU,1562611340,8.85
164,tepoztlan,18.98,27.0,40,36,-99.1,MX,1562611455,6.2
165,jacareacanga,-6.22,31.48,13,50,-57.76,BR,1562611340,1.32
166,vila franca do campo,37.72,21.0,75,94,-25.43,PT,1562611406,5.7
167,faya,18.39,22.0,0,77,42.45,SA,1562611456,3.1
168,saldanha,41.42,23.68,60,40,-6.55,PT,1562611285,4.69
169,abalak,15.46,34.78,60,38,6.28,NE,1562611456,6.37
170,hirara,24.8,28.78,100,86,125.28,JP,1562611361,7.62
171,cape town,-33.93,17.22,40,87,18.42,ZA,1562611119,5.1
172,victoria,5.28,25.0,75,94,115.24,BN,1562611170,1.26
173,mokhsogollokh,61.4,17.38,100,97,128.95,RU,1562611457,1.4
174,tilichiki,60.47,10.78,100,92,166.1,RU,1562611369,1.75
175,aykhal,65.95,16.0,0,72,111.51,RU,1562611302,2.0
176,durango,24.02,22.22,40,55,-104.67,MX,1562611298,2.1
177,akom,2.67,20.78,76,94,12.71,CM,1562611458,0.63
178,providencia,1.24,20.0,75,72,-77.6,CO,1562611458,2.1
179,ulladulla,-35.36,10.0,0,76,150.48,AU,1562611304,6.2
180,upernavik,72.79,5.28,100,77,-56.15,GL,1562611458,6.46
181,mount gambier,-37.83,8.0,90,100,140.78,AU,1562611459,3.6
182,kapaa,22.08,28.0,75,74,-159.32,US,1562611320,7.2
183,iida,35.45,20.0,100,92,137.9,JP,1562611459,1.34
184,saskylakh,71.97,9.38,73,95,114.09,RU,1562610992,2.95
185,yeppoon,-23.13,18.0,90,82,150.74,AU,1562611460,2.1
186,podporozhye,60.91,14.28,71,89,34.16,RU,1562611460,3.09
187,quatis,-22.41,16.68,0,64,-44.26,BR,1562611460,2.0
188,loralai,30.37,29.18,0,16,68.6,PK,1562611461,4.13
189,bonfim,3.36,31.88,12,51,-59.84,GY,1562611461,2.2
190,zapolyarnyy,69.43,10.0,0,66,30.82,RU,1562611461,7.2
191,vila velha,-3.71,30.0,20,58,-38.6,BR,1562611290,7.7
192,saint-pierre,48.95,22.0,0,40,4.24,FR,1562611462,7.7
193,oksfjord,70.24,18.0,0,52,22.35,NO,1562611462,4.1
194,grandview,38.89,32.0,75,54,-94.53,US,1562611283,1.5
195,keti bandar,24.14,28.38,45,85,67.45,PK,1562611344,9.5
196,karratha,-20.74,19.88,0,43,116.85,AU,1562611084,4.03
197,kaduqli,11.01,25.48,100,75,29.72,SD,1562611366,1.71
198,saint george,39.45,32.0,20,29,22.34,GR,1562611375,3.6
199,capelinha,-17.69,22.38,8,44,-42.52,BR,1562611167,4.15
200,kansk,56.21,14.78,17,69,95.71,RU,1562611463,2.0
201,dunedin,-45.87,7.78,98,58,170.5,NZ,1562611463,2.68
202,harper,30.3,33.89,1,55,-99.24,US,1562611347,4.6
203,salta,-24.79,16.0,0,58,-65.41,AR,1562611464,1.5
204,weiser,44.25,24.0,1,36,-116.97,US,1562611464,2.23
205,aklavik,68.22,16.0,75,71,-135.01,CA,1562611313,1.0
206,linjiang,41.81,12.08,1,69,126.91,CN,1562611465,0.83
207,chuy,-33.69,12.68,27,58,-53.46,UY,1562611310,2.0
208,oussouye,12.49,31.0,0,74,-16.54,SN,1562611465,1.0
209,ust-tsilma,65.44,13.68,54,63,52.15,RU,1562611466,3.11
